,callsign,icao24,last_position,filter,count
40592,WJA2060,c0817c,2022-01-14 17:41:49.716000+00:00,False,0
40593,WJA2060,c0817c,2022-01-14 17:41:50.746000128+00:00,False,0
40594,WJA2060,c0817c,2022-01-14 17:41:51.773999872+00:00,False,0
40595,WJA2060,c0817c,2022-01-14 17:41:52.737999872+00:00,False,0
40596,WJA2060,c0817c,2022-01-14 17:41:53.855000064+00:00,False,0
40597,WJA2060,c0817c,2022-01-14 17:41:54.890000128+00:00,False,0
40598,WJA2060,c0817c,2022-01-14 17:41:55.969000192+00:00,False,0
40599,WJA2060,c0817c,2022-01-14 17:41:56.874000128+00:00,False,0
40600,WJA2060,c0817c,2022-01-14 17:41:57.464000+00:00,False,0
40601,WJA2060,c0817c,2022-01-14 17:41:58.480000+00:00,False,0
40602,WJA2060,c0817c,2022-01-14 17:41:59.532999936+00:00,False,0
40603,WJA2060,c0817c,2022-01-14 17:42:00.430000128+00:00,False,0
40604,WJA2060,c0817c,2022-01-14 17:42:01.872999936+00:00,False,0
40605,WJA2060,c0817c,2022-01-14 17:42:02.915000064+00:00,False,0
40606,WJA2060,c0817c,2022-01-14 17:42:03.900000+00:00,False,0
40607,WJA2060,c0817c,2022-01-14 17:42:04.476000+00:00,False,0
40608,WJA2060,c0817c,2022-01-14 17:42:05.535000064+00:00,False,0
40609,WJA2060,c0817c,2022-01-14 17:42:06.598000128+00:00,False,0
40610,WJA2060,c0817c,2022-01-14 17:42:07.775000064+00:00,False,0
40611,WJA2060,c0817c,2022-01-14 17:42:08.980000+00:00,False,0
40612,WJA2060,c0817c,2022-01-14 17:42:09.778000128+00:00,False,0
40613,WJA2060,c0817c,2022-01-14 17:42:10.713999872+00:00,False,0
40614,WJA2060,c0817c,2022-01-14 17:42:11.927000064+00:00,False,0
40615,WJA2060,c0817c,2022-01-14 17:42:12.828000+00:00,False,0
40616,WJA2060,c0817c,2022-01-14 17:42:13.956000+00:00,False,0
40617,WJA2060,c0817c,2022-01-14 17:42:14.447000064+00:00,False,0
40618,WJA2060,c0817c,2022-01-14 17:42:15.580000+00:00,False,0
